,Rules,Train coverage,Train accuracy,Train recall
37,(1.0 <= Clump Thickness <= 2.0) // AND (1.0 <= Uniformity of Cell Size <= 1.0) // AND (1.0 <= Uniformity of Cell Shape <= 2.0) // AND (1.0 <= Marginal Adhesion <= 2.0) // AND (2.0 <= Single Epithelial Cell Size <= 2.0) // AND (1.0 <= Bare Nuclei <= 1.0) // AND (2.0 <= Bland Chromatin <= 3.0) // AND (1.0 <= Normal Nucleoli <= 1.0) // AND (1.0 <= Mitoses <= 1.0) // THEN (Class = 0),0.1001788908765653,1.0,0.15426997245179064
49,(3.0 <= Clump Thickness <= 5.0) // AND (1.0 <= Uniformity of Cell Size <= 1.0) // AND (1.0 <= Uniformity of Cell Shape <= 1.0) // AND (1.0 <= Marginal Adhesion <= 1.0) // AND (2.0 <= Single Epithelial Cell Size <= 2.0) // AND (1.0 <= Bare Nuclei <= 2.0) // AND (2.0 <= Bland Chromatin <= 7.0) // AND (1.0 <= Normal Nucleoli <= 1.0) // AND (1.0 <= Mitoses <= 1.0) // THEN (Class = 0),0.09660107334525939,1.0,0.1487603305785124
59,(1.0 <= Clump Thickness <= 2.0) // AND (1.0 <= Uniformity of Cell Size <= 1.0) // AND (1.0 <= Uniformity of Cell Shape <= 1.0) // AND (1.0 <= Marginal Adhesion <= 2.0) // AND (2.0 <= Single Epithelial Cell Size <= 2.0) // AND (1.0 <= Bare Nuclei <= 2.0) // AND (2.0 <= Bland Chromatin <= 3.0) // AND (1.0 <= Normal Nucleoli <= 1.0) // AND (1.0 <= Mitoses <= 1.0) // THEN (Class = 0),0.09660107334525939,1.0,0.1487603305785124
126,(3.0 <= Clump Thickness <= 5.0) // AND (1.0 <= Uniformity of Cell Size <= 2.0) // AND (1.0 <= Uniformity of Cell Shape <= 1.0) // AND (1.0 <= Marginal Adhesion <= 1.0) // AND (2.0 <= Single Epithelial Cell Size <= 2.0) // AND (1.0 <= Bare Nuclei <= 1.0) // AND (2.0 <= Bland Chromatin <= 3.0) // AND (1.0 <= Normal Nucleoli <= 1.0) // AND (1.0 <= Mitoses <= 1.0) // THEN (Class = 0),0.09660107334525939,1.0,0.1487603305785124
237,(1.0 <= Clump Thickness <= 1.0) // AND (1.0 <= Uniformity of Cell Size <= 2.0) // AND (1.0 <= Uniformity of Cell Shape <= 3.0) // AND (1.0 <= Marginal Adhesion <= 1.0) // AND (2.0 <= Single Epithelial Cell Size <= 2.0) // AND (1.0 <= Bare Nuclei <= 1.0) // AND (1.0 <= Bland Chromatin <= 2.0) // AND (1.0 <= Normal Nucleoli <= 1.0) // AND (1.0 <= Mitoses <= 1.0) // THEN (Class = 0),0.09481216457960644,1.0,0.14600550964187328
230,(2.0 <= Clump Thickness <= 3.0) // AND (1.0 <= Uniformity of Cell Size <= 1.0) // AND (1.0 <= Uniformity of Cell Shape <= 1.0) // AND (1.0 <= Marginal Adhesion <= 4.0) // AND (2.0 <= Single Epithelial Cell Size <= 3.0) // AND (1.0 <= Bare Nuclei <= 1.0) // AND (1.0 <= Bland Chromatin <= 2.0) // AND (1.0 <= Normal Nucleoli <= 2.0) // AND (1.0 <= Mitoses <= 1.0) // THEN (Class = 0),0.09302325581395349,1.0,0.14325068870523416
71,(1.0 <= Clump Thickness <= 1.0) // AND (1.0 <= Uniformity of Cell Size <= 1.0) // AND (1.0 <= Uniformity of Cell Shape <= 2.0) // AND (1.0 <= Marginal Adhesion <= 2.0) // AND (1.0 <= Single Epithelial Cell Size <= 2.0) // AND (1.0 <= Bare Nuclei <= 2.0) // AND (2.0 <= Bland Chromatin <= 4.0) // AND (1.0 <= Normal Nucleoli <= 2.0) // AND (1.0 <= Mitoses <= 1.0) // THEN (Class = 0),0.09123434704830054,1.0,0.14049586776859505
211,(1.0 <= Clump Thickness <= 1.0) // AND (1.0 <= Uniformity of Cell Size <= 1.0) // AND (1.0 <= Uniformity of Cell Shape <= 1.0) // AND (1.0 <= Marginal Adhesion <= 1.0) // AND (1.0 <= Single Epithelial Cell Size <= 2.0) // AND (1.0 <= Bare Nuclei <= 2.0) // AND (1.0 <= Bland Chromatin <= 2.0) // AND (1.0 <= Normal Nucleoli <= 3.0) // AND (1.0 <= Mitoses <= 1.0) // THEN (Class = 0),0.09123434704830054,1.0,0.14049586776859505
192,(1.0 <= Clump Thickness <= 1.0) // AND (1.0 <= Uniformity of Cell Size <= 1.0) // AND (1.0 <= Uniformity of Cell Shape <= 2.0) // AND (1.0 <= Marginal Adhesion <= 1.0) // AND (1.0 <= Single Epithelial Cell Size <= 2.0) // AND (1.0 <= Bare Nuclei <= 2.0) // AND (2.0 <= Bland Chromatin <= 3.0) // AND (1.0 <= Normal Nucleoli <= 1.0) // AND (1.0 <= Mitoses <= 1.0) // THEN (Class = 0),0.08765652951699464,1.0,0.1349862258953168
83,(1.0 <= Clump Thickness <= 1.0) // AND (1.0 <= Uniformity of Cell Size <= 1.0) // AND (1.0 <= Uniformity of Cell Shape <= 1.0) // AND (1.0 <= Marginal Adhesion <= 2.0) // AND (1.0 <= Single Epithelial Cell Size <= 2.0) // AND (1.0 <= Bare Nuclei <= 2.0) // AND (2.0 <= Bland Chromatin <= 3.0) // AND (1.0 <= Normal Nucleoli <= 1.0) // AND (1.0 <= Mitoses <= 1.0) // THEN (Class = 0),0.08586762075134168,1.0,0.1322314049586777
130,(1.0 <= Clump Thickness <= 1.0) // AND (1.0 <= Uniformity of Cell Size <= 1.0) // AND (1.0 <= Uniformity of Cell Shape <= 1.0) // AND (1.0 <= Marginal Adhesion <= 1.0) // AND (1.0 <= Single Epithelial Cell Size <= 2.0) // AND (1.0 <= Bare Nuclei <= 2.0) // AND (2.0 <= Bland Chromatin <= 3.0) // AND (1.0 <= Normal Nucleoli <= 1.0) // AND (1.0 <= Mitoses <= 2.0) // THEN (Class = 0),0.08586762075134168,1.0,0.1322314049586777
187,(1.0 <= Clump Thickness <= 1.0) // AND (1.0 <= Uniformity of Cell Size <= 1.0) // AND (1.0 <= Uniformity of Cell Shape <= 1.0) // AND (1.0 <= Marginal Adhesion <= 1.0) // AND (1.0 <= Single Epithelial Cell Size <= 3.0) // AND (1.0 <= Bare Nuclei <= 2.0) // AND (2.0 <= Bland Chromatin <= 3.0) // AND (1.0 <= Normal Nucleoli <= 1.0) // AND (1.0 <= Mitoses <= 1.0) // THEN (Class = 0),0.08586762075134168,1.0,0.1322314049586777
